AIMed_d30@1	Isolation of human PROTEINT1 and its binding specificity with PROTEINT2
AIMed_d204@1	The catalytic domain of activate PROTEINT0 PROTEINT1 be absolutely require for interaction with its specific inhibitor PROTEINT0 PROTEINT2
AIMed_d204@7	Only the activate and not the latent form of wild-type and C-terminal mutant de 248-450 PROTEINT1 protein be able to form complex with PROTEINT2
AIMed_d204@9	This demonstrate that the C-terminal hemopexin domain of PROTEINT0 in contrast to the correspond region of PROTEINT1 and PROTEINT0 do not interact with PROTEINT2
AIMed_d204@9	This demonstrate that the C-terminal hemopexin domain of PROTEINT0 in contrast to the correspond region of PROTEINT0 and PROTEINT1 do not interact with PROTEINT2
AIMed_d204@10	In summary we have show that the integrity of the catalytic domain of PROTEINT1 and its ability to bind Zn2 be absolutely require for complex formation with PROTEINT2 which further underline the importance of this region for proper regulation of enzymatic activity of PROTEINT0
AIMed_d113@1	Cloning and functional analysis of PROTEINT1 a novel PROTEINT0 PROTEINT2 bind protein with anti-cell death activity
AIMed_d113@2	Use a protein interaction cloning technique we identify cDNA that encode a novel PROTEINT1 PROTEINT0 term PROTEINT2
AIMed_d161@1	Use of the two hybrid system to detect the association of the protein-tyrosine-phosphatase PROTEINT1 with another SH2-containing protein PROTEINT2
AIMed_d161@3	PROTEINT1 associate with the PROTEINT2 PROTEINT0 PROTEINT0 receptor after ligand stimulation and binding of PROTEINT0 to this receptor promote tyrosine phosphorylation of PROTEINT0
AIMed_d161@5	Use PROTEINT0 as bait and supply an exogenous tyrosine kinase gene to the yeast cell we have find that PROTEINT1 interact with another signaling protein PROTEINT2
AIMed_d161@7	We demonstrate that PROTEINT1 bind to PROTEINT2 in vitro under condition where the latter be tyrosine-phosphorylated
AIMed_d166@2	Residue in human PROTEINT1 PROTEINT0 crucial for bind to both the human PROTEINT2 R and PROTEINT0 be identify by analysis of alanine scanning mutant of PROTEINT0 in assay for both receptor binding and bioactivity
AIMed_d166@2	Residue in human PROTEINT1 PROTEINT0 crucial for bind to both the human PROTEINT0 R and PROTEINT2 be identify by analysis of alanine scanning mutant of PROTEINT0 in assay for both receptor binding and bioactivity
AIMed_d166@2	Residue in human PROTEINT0 PROTEINT1 crucial for bind to both the human PROTEINT2 R and PROTEINT0 be identify by analysis of alanine scanning mutant of PROTEINT0 in assay for both receptor binding and bioactivity
AIMed_d166@2	Residue in human PROTEINT0 PROTEINT1 crucial for bind to both the human PROTEINT0 R and PROTEINT2 be identify by analysis of alanine scanning mutant of PROTEINT0 in assay for both receptor binding and bioactivity
AIMed_d166@3	The region of PROTEINT1 most important for bind to the PROTEINT2 be compose of residue from the amino terminus of the D-helix carboxyl terminus of the B-helix and C-D loop
AIMed_d166@5	The two residue of PROTEINT1 that contribute the majority of free energy for PROTEINT2 binding Phe-156 and Lys-159 be surround by other residue which have only a moderate impact
AIMed_d166@7	A second region of PROTEINT1 that include residue from the carboxyl terminus of the D-helix and A-B loop also have a weak influence on PROTEINT2 binding
AIMed_d166@8	Residue in PROTEINT1 from both the A and C-helice be involve in bind the PROTEINT2 co-receptor
AIMed_d166@9	Abolition of the PROTEINT1 binding site in PROTEINT2 create antagonist of PROTEINT0 action
AIMed_d69@1	Activation of PROTEINT1 decrease phosphorylation of PROTEINT2 at site that negatively regulate its DNA-binding activity
AIMed_d69@2	In rest human epithelial and fibroblastic cell PROTEINT1 be phosphorylate on serine and threonine at five site three of which be phosphorylate in vitro by PROTEINT2 PROTEINT0
AIMed_d69@2	In rest human epithelial and fibroblastic cell PROTEINT1 be phosphorylate on serine and threonine at five site three of which be phosphorylate in vitro by PROTEINT0 PROTEINT2
AIMed_d69@4	Activation of PROTEINT1 result in rapid site-specific dephosphorylation of PROTEINT2 at one or more of these three site and be coincident with increase PROTEINT0 binding activity
AIMed_d69@5	Phosphorylation of recombinant human PROTEINT1 protein in vitro by PROTEINT2 decrease their DNA-binding activity
AIMed_d69@7	We propose that PROTEINT1 be present in rest cell in a latent phosphorylated form that can be activate by site-specific dephosphorylation in response to PROTEINT2 activation
AIMed_d89@1	The mitogenic effect of the PROTEINT1 be mediate through cell surface PROTEINT2
AIMed_d89@11	The present study have show that cell surface PROTEINT1 bind to the PROTEINT2 mediate its mitogenic activity
AIMed_d186@4	Only weak PROTEINT1 binding activity be find in cell transfecte with only PROTEINT2 however the combination of both PROTEINT0 and PROTEINT0 result in substantial binding activity with a Kd of approximately 400 pM indicate that both chain be essential component of the PROTEINT0 PROTEINT0
AIMed_d186@5	Whereas PROTEINT1 serve as an alternative accessory protein to the common PROTEINT0 PROTEINT0 for PROTEINT2 signaling it could not replace the function of PROTEINT0 in allow enhance PROTEINT0 binding activity
AIMed_d150@1	Regulation of the PROTEINT0 relate transcription factor PROTEINT1 by bind to the PROTEINT2 protein
AIMed_d150@4	In this report it be demonstrate that PROTEINT1 contain a sequence motif that be highly related to the PROTEINT0 binding site of several viral oncoprotein and bind to the pocket region of PROTEINT2 both in vitro and in vivo
AIMed_d150@6	Co-immunoprecipitation experiment demonstrate an association between PROTEINT1 and PROTEINT2 in rest normal human T cell
AIMed_d181@1	Structure of the PROTEINT1 tumor suppressor bind to the ankyrin and SH3 domain of PROTEINT2
AIMed_d181@3	The core domain contain the sequence-specific DNA binding activity and the in vitro PROTEINT1 protein binding activity of PROTEINT2
AIMed_d181@4	The crystal structure of the PROTEINT1 core domain bind to the PROTEINT2 protein which contain an SH3 Src homology 3 domain and four ankyrin repeat reveal that i the SH3 domain bind the L3 loop of PROTEINT0 in a manner distinct from that of previously characterize SH3-polyproline peptide complex and ii an ankyrin repeat which form an L-shaped structure consist of a beta hairpin and two alpha helix bind the L2 loop of PROTEINT0
AIMed_d181@5	The structure of the complex show that the PROTEINT1 binding site on the PROTEINT2 core domain consist of evolutionarily conserve region that be frequently mutate in cancer and that it overlap the site of DNA binding
AIMed_d181@6	The six most frequently observe PROTEINT1 mutation disrupt PROTEINT2 binding in vitro
AIMed_d181@7	The structure provide evidence that the PROTEINT1 PROTEINT2 complex form in vivo and may have a critical role in the PROTEINT0 pathway of tumor suppression
AIMed_d80@1	PROTEINT1 a novel death domain-containing protein interact with the death domain of PROTEINT2 and initiate apoptosis
AIMed_d80@2	Use the cytoplasmic domain of PROTEINT0 in the yeast two-hybrid system we have identify a novel interact protein PROTEINT1 which bind PROTEINT2 and PROTEINT0 PROTEINT0 a mutant of PROTEINT0 possess enhance killing activity but not the functionally inactive mutant PROTEINT0 PROTEINT0 and PROTEINT0 PROTEINT0
AIMed_d80@2	Use the cytoplasmic domain of PROTEINT0 in the yeast two-hybrid system we have identify a novel interact protein PROTEINT1 which bind PROTEINT0 and PROTEINT2 PROTEINT0 a mutant of PROTEINT0 possess enhance killing activity but not the functionally inactive mutant PROTEINT0 PROTEINT0 and PROTEINT0 PROTEINT0
AIMed_d80@2	Use the cytoplasmic domain of PROTEINT0 in the yeast two-hybrid system we have identify a novel interact protein PROTEINT1 which bind PROTEINT0 and PROTEINT0 PROTEINT2 a mutant of PROTEINT0 possess enhance killing activity but not the functionally inactive mutant PROTEINT0 PROTEINT0 and PROTEINT0 PROTEINT0
AIMed_d80@4	A point mutation in PROTEINT1 analogous to the lpr mutation of PROTEINT0 abolish its ability to bind PROTEINT2 suggest a death domain to death domain interaction
AIMed_d80@5	Overexpression of PROTEINT0 in MCF7 and BJAB cell induce apoptosis which like PROTEINT0 induce apoptosis be block by PROTEINT1 a specific inhibitor of the PROTEINT2 PROTEINT0 convert enzyme
AIMed_d122@3	In previous study Scott J D Stofko R E McDonald J R Comer J D Vitalis E A and Mangili J 1990 J Biol Chem 265 21561-21566 we have show that dimerization of PROTEINT1 be require for interaction with the cytoskeletal component PROTEINT2
AIMed_d122@8	Measurement of PROTEINT1 I3A,I5A interaction with the human PROTEINT2 PROTEINT0 by two independent method suggest that mutation of isoleucine 3 and 5 decrease affinity by at least 6-fold
AIMed_d122@8	Measurement of PROTEINT1 I3A,I5A interaction with the human PROTEINT0 PROTEINT2 by two independent method suggest that mutation of isoleucine 3 and 5 decrease affinity by at least 6-fold
AIMed_d51@6	Here we report the crystal structure of the PROTEINT1 ectodomain in a dimeric form that be induce by simultaneous binding to PROTEINT2 and a heparin decasaccharide
AIMed_d51@9	The structure of the PROTEINT1 PROTEINT2 heparin ternary complex provide a structural basis for the essential role of heparan sulphate in FGF signalling
AIMed_d87@2	Interaction of the PROTEINT0 subunit of PROTEINT1 with the PROTEINT0 PROTEINT2 PROTEINT0 and the PROTEINT0 PROTEINT0 PROTEINT0 be investigate use the two-hybrid system by assess for his3 and lacZ activation in S cerevisiae
AIMed_d87@2	Interaction of the PROTEINT0 subunit of PROTEINT1 with the PROTEINT0 PROTEINT0 PROTEINT2 and the PROTEINT0 PROTEINT0 PROTEINT0 be investigate use the two-hybrid system by assess for his3 and lacZ activation in S cerevisiae
AIMed_d87@2	Interaction of the PROTEINT0 subunit of PROTEINT1 with the PROTEINT0 PROTEINT0 PROTEINT0 and the PROTEINT0 PROTEINT2 PROTEINT0 be investigate use the two-hybrid system by assess for his3 and lacZ activation in S cerevisiae
AIMed_d87@2	Interaction of the PROTEINT0 subunit of PROTEINT1 with the PROTEINT0 PROTEINT0 PROTEINT0 and the PROTEINT0 PROTEINT0 PROTEINT2 be investigate use the two-hybrid system by assess for his3 and lacZ activation in S cerevisiae
AIMed_d87@4	The result of his3 activation indicate that PROTEINT1 N C-SH2 and C-SH2 interact with both PROTEINT0 PROTEINT2 and PROTEINT0 PROTEINT0 beta whereas N-SH2 and SH3 N-SH2 interact only with PROTEINT0 PROTEINT0 beta
AIMed_d87@4	The result of his3 activation indicate that PROTEINT1 N C-SH2 and C-SH2 interact with both PROTEINT0 PROTEINT0 and PROTEINT2 PROTEINT0 beta whereas N-SH2 and SH3 N-SH2 interact only with PROTEINT0 PROTEINT0 beta
AIMed_d87@5	Interaction of PROTEINT1 and N+C-SH2 with PROTEINT2 PROTEINT0 or PROTEINT0 PROTEINT0 beta PROTEINT0 in which the C-terminal 43 amino acid include the YXXM motif be delete persist
AIMed_d87@5	Interaction of PROTEINT1 and N+C-SH2 with PROTEINT0 PROTEINT0 or PROTEINT2 PROTEINT0 beta PROTEINT0 in which the C-terminal 43 amino acid include the YXXM motif be delete persist
AIMed_d87@7	Activation of lacZ upon interaction of PROTEINT1 with PROTEINT2 PROTEINT0 be 4-fold less as compare to PROTEINT0
AIMed_d87@7	Activation of lacZ upon interaction of PROTEINT1 with PROTEINT0 PROTEINT0 be 4-fold less as compare to PROTEINT2
AIMed_d87@8	This activation with PROTEINT1 and PROTEINT2 PROTEINT0 beta be 4-fold less as compare to PROTEINT0 and be somewhat increase 2-fold for PROTEINT0 PROTEINT0 beta PROTEINT0 3
AIMed_d87@8	This activation with PROTEINT1 and PROTEINT0 PROTEINT0 beta be 4-fold less as compare to PROTEINT2 and be somewhat increase 2-fold for PROTEINT0 PROTEINT0 beta PROTEINT0 3
AIMed_d87@8	This activation with PROTEINT1 and PROTEINT0 PROTEINT0 beta be 4-fold less as compare to PROTEINT0 and be somewhat increase 2-fold for PROTEINT2 PROTEINT0 beta PROTEINT0 3
AIMed_d87@9	Thus the C-terminal domain in PROTEINT1 appear to exert a negative control on binding of PROTEINT2 thereby provide a possible regulatory mechanism for direct activation of the PROTEINT0 pathway
AIMed_d125@2	Interaction of the PROTEINT1 protein with itself and other member of the PROTEINT0 family include PROTEINT2 PROTEINT0 PROTEINT0 and PROTEINT0 be explore with a yeast two-hybrid system
AIMed_d125@2	Interaction of the PROTEINT1 protein with itself and other member of the PROTEINT0 family include PROTEINT0 PROTEINT2 PROTEINT0 and PROTEINT0 be explore with a yeast two-hybrid system
AIMed_d125@2	Interaction of the PROTEINT1 protein with itself and other member of the PROTEINT0 family include PROTEINT0 PROTEINT0 PROTEINT2 and PROTEINT0 be explore with a yeast two-hybrid system
AIMed_d125@2	Interaction of the PROTEINT1 protein with itself and other member of the PROTEINT0 family include PROTEINT0 PROTEINT0 PROTEINT0 and PROTEINT2 be explore with a yeast two-hybrid system
AIMed_d125@6	PROTEINT1 also interact with PROTEINT2 and PROTEINT0 and with the dominant inhibitor PROTEINT0 and PROTEINT0
AIMed_d125@6	PROTEINT1 also interact with PROTEINT0 and PROTEINT2 and with the dominant inhibitor PROTEINT0 and PROTEINT0
AIMed_d125@6	PROTEINT1 also interact with PROTEINT0 and PROTEINT0 and with the dominant inhibitor PROTEINT2 and PROTEINT0
AIMed_d125@6	PROTEINT1 also interact with PROTEINT0 and PROTEINT0 and with the dominant inhibitor PROTEINT0 and PROTEINT2
AIMed_d125@11	The finding suggest a model whereby PROTEINT0 and PROTEINT0 differentially regulate PROTEINT0 function and indicate that requirement for PROTEINT1 PROTEINT2 heterodimerization may be different from those for PROTEINT0 PROTEINT0 homodimerization
AIMed_d125@11	The finding suggest a model whereby PROTEINT0 and PROTEINT0 differentially regulate PROTEINT0 function and indicate that requirement for PROTEINT0 PROTEINT0 heterodimerization may be different from those for PROTEINT1 PROTEINT2 homodimerization
AIMed_d56@1	Cloning of PROTEINT1 a ligand for PROTEINT2 on human T cell
AIMed_d56@7	Express in a murine myeloma PROTEINT1 be identify as a ligand for PROTEINT2 by bind to a soluble PROTEINT0 construct
AIMed_d56@7	Express in a murine myeloma PROTEINT1 be identify as a ligand for PROTEINT0 by bind to a soluble PROTEINT2 construct
AIMed_d159@2	The carboxy-terminal region of PROTEINT1 have previously be show to interact directly with PROTEINT2 a cytoplasmic component of the PROTEINT0 glycoprotein complex by in vitro biochemical study such as overlay assay or immunoprecipitation
AIMed_d207@1	PROTEINT0 prevent PROTEINT1 PROTEINT2 contain PROTEINT0 complexe formation in terminally differentiate myocyte
AIMed_d207@5	An PROTEINT0 complex contain mainly PROTEINT1 and PROTEINT2 PROTEINT0 PROTEINT0 G0/G1 complex appear when DNA synthesis arrest replace the PROTEINT0 PROTEINT0 contain PROTEINT0 complex of proliferate myoblast PROTEINT0 G1/S complex
AIMed_d207@5	An PROTEINT0 complex contain mainly PROTEINT1 and PROTEINT0 PROTEINT2 PROTEINT0 G0/G1 complex appear when DNA synthesis arrest replace the PROTEINT0 PROTEINT0 contain PROTEINT0 complex of proliferate myoblast PROTEINT0 G1/S complex
AIMed_d207@5	An PROTEINT0 complex contain mainly PROTEINT0 and PROTEINT0 PROTEINT0 PROTEINT0 G0/G1 complex appear when DNA synthesis arrest replace the PROTEINT1 PROTEINT2 contain PROTEINT0 complex of proliferate myoblast PROTEINT0 G1/S complex
AIMed_d207@8	Thus during myogenic differentiation formation of PROTEINT1 and PROTEINT2 PROTEINT0 contain complex be an early event but not enough on its own to prevent the reactivation of DNA synthesis
AIMed_d207@8	Thus during myogenic differentiation formation of PROTEINT1 and PROTEINT0 PROTEINT2 contain complex be an early event but not enough on its own to prevent the reactivation of DNA synthesis
AIMed_d207@9	Use a subclone of C3H10T1/2 mouse fibroblast stably express PROTEINT0 PROTEINT0 PROTEINT0 PROTEINT0 chimerae we find that estrogen direct PROTEINT0 activation prevent the reassociation of PROTEINT1 PROTEINT2 to the PROTEINT0 contain complex follow serum stimulation and this correlate with suppression of PROTEINT0 activity and the inability of cell to re-enter the cell cycle
AIMed_d63@1	Coassociation of PROTEINT1 PROTEINT0 with PROTEINT2 on the surface of human T lymphocyte
AIMed_d63@1	Coassociation of PROTEINT0 PROTEINT1 with PROTEINT2 on the surface of human T lymphocyte
AIMed_d63@4	These finding strongly suggest that PROTEINT0 may be closely associate with the PROTEINT0 protein tyrosine phosphatase on T cell surface and further support the notion that the interaction of PROTEINT1 with PROTEINT2 result in enhance tyrosine kinase activity zeta chain phosphorylation and T cell activation
AIMed_d110@5	PROTEINT1 be show to interact with the large subunit PROTEINT2 of human PROTEINT0 through its central region and with multiple activators--including PROTEINT0 PROTEINT0 PROTEINT0 PROTEINT0 adenoviral PROTEINT0 and human immunodeficiency virus-type 1 PROTEINT0 proteins--through a distinct amino-terminal domain
AIMed_d110@5	PROTEINT1 be show to interact with the large subunit PROTEINT0 of human PROTEINT0 through its central region and with multiple activators--including PROTEINT2 PROTEINT0 PROTEINT0 PROTEINT0 adenoviral PROTEINT0 and human immunodeficiency virus-type 1 PROTEINT0 proteins--through a distinct amino-terminal domain
AIMed_d110@5	PROTEINT1 be show to interact with the large subunit PROTEINT0 of human PROTEINT0 through its central region and with multiple activators--including PROTEINT0 PROTEINT2 PROTEINT0 PROTEINT0 adenoviral PROTEINT0 and human immunodeficiency virus-type 1 PROTEINT0 proteins--through a distinct amino-terminal domain
AIMed_d110@5	PROTEINT1 be show to interact with the large subunit PROTEINT0 of human PROTEINT0 through its central region and with multiple activators--including PROTEINT0 PROTEINT0 PROTEINT2 PROTEINT0 adenoviral PROTEINT0 and human immunodeficiency virus-type 1 PROTEINT0 proteins--through a distinct amino-terminal domain
AIMed_d110@5	PROTEINT1 be show to interact with the large subunit PROTEINT0 of human PROTEINT0 through its central region and with multiple activators--including PROTEINT0 PROTEINT0 PROTEINT0 PROTEINT2 adenoviral PROTEINT0 and human immunodeficiency virus-type 1 PROTEINT0 proteins--through a distinct amino-terminal domain
AIMed_d110@5	PROTEINT1 be show to interact with the large subunit PROTEINT0 of human PROTEINT0 through its central region and with multiple activators--including PROTEINT0 PROTEINT0 PROTEINT0 PROTEINT0 adenoviral PROTEINT2 and human immunodeficiency virus-type 1 PROTEINT0 proteins--through a distinct amino-terminal domain
AIMed_d110@6	The PROTEINT1 interact region of PROTEINT2 be localized to its DNA-binding domain which be distinct from the glutamine-rich activation domain previously show to interact with Drosophila PROTEINT0
AIMed_d110@6	The PROTEINT0 interact region of PROTEINT1 be localized to its DNA-binding domain which be distinct from the glutamine-rich activation domain previously show to interact with Drosophila PROTEINT2
AIMed_d200@7	Use epitope-tagging interaction of PROTEINT1 basic-helix-loop-helix protein with the PROTEINT2 protein encode by this novel cDNA be confirm by immunoprecipitation experiment in COS7 cell
AIMed_d200@11	A cDNA encode part of the PROTEINT1 protein sequence interact with the PROTEINT2 basic-helix-loop-helix only when fuse to a beta-galactosidase tag
AIMed_d64@5	From Scatchard analysis the Kd: for binding of PROTEINT1 and PROTEINT0 to PROTEINT2 be estimate to 25 pM and 41 pM respectively
AIMed_d64@5	From Scatchard analysis the Kd: for binding of PROTEINT0 and PROTEINT1 to PROTEINT2 be estimate to 25 pM and 41 pM respectively
AIMed_d64@6	Thus PROTEINT1 encode a human FGF receptor with high affinity for both PROTEINT2 and PROTEINT0
AIMed_d64@6	Thus PROTEINT1 encode a human FGF receptor with high affinity for both PROTEINT0 and PROTEINT2
AIMed_d117@7	Here we show that PROTEINT1 bind to the PROTEINT2 PROTEINT0 which induce activin binding to the type I receptor kinase PROTEINT0 to form PROTEINT0 beta:beta
AIMed_d117@7	Here we show that PROTEINT1 bind to the PROTEINT0 PROTEINT2 which induce activin binding to the type I receptor kinase PROTEINT0 to form PROTEINT0 beta:beta
AIMed_d117@9	PROTEINT1 also bind to PROTEINT2 through its beta subunit compete with the binding of activin to PROTEINT0 but fail to form the PROTEINT0
AIMed_d165@1	Interaction involve the human RNA polymerase II transcription/nucleotide excision repair complex PROTEINT0 the nucleotide excision repair protein PROTEINT1 and PROTEINT0 PROTEINT2
AIMed_d165@8	Our analysis demonstrate that the PROTEINT1 PROTEINT2 PROTEINT0 and PROTEINT0 protein interact with each other
AIMed_d165@9	PROTEINT1 protein interact with multiple subunit of PROTEINT0 and with PROTEINT2 protein
AIMed_d119@1	Nuclear protein PROTEINT1 be a coactivator for the transcription factor PROTEINT2
AIMed_d119@3	PROTEINT1 be activate through phosphorylation by PROTEINT2 PROTEINT0 but precisely how phosphorylation stimulate PROTEINT0 function be unknown
AIMed_d119@3	PROTEINT1 be activate through phosphorylation by PROTEINT0 PROTEINT2 but precisely how phosphorylation stimulate PROTEINT0 function be unknown
AIMed_d119@5	We have previously identify a nuclear protein of M r 265K PROTEINT1 that bind specifically to the PROTEINT0 phosphorylate form of PROTEINT2
AIMed_d119@5	We have previously identify a nuclear protein of M r 265K PROTEINT0 that bind specifically to the PROTEINT1 phosphorylate form of PROTEINT2
AIMed_d119@6	We have use fluorescence anisotropy measurement to define the equilibrium binding parameter of the PROTEINT1 PROTEINT2 interaction and report here that PROTEINT0 can activate transcription through a region in its carboxy terminus
AIMed_d119@7	The activation domain of PROTEINT1 interact with the basal transcription factor PROTEINT0 through a domain that be conserve in the yeast coactivator PROTEINT2 ref 8
AIMed_d119@8	Consistent with its role as a coactivator PROTEINT1 augment the activity of phosphorylate PROTEINT2 to activate transcription of cAMP-responsive gene
AIMed_d209@2	Human PROTEINT1 be first characterize as a PROTEINT0 PROTEINT2 binding protein base on the property of its carboxyl-terminal domain
AIMed_d209@3	We now show that full-length PROTEINT1 interact with activate PROTEINT2 in mammalian cell and define a minimum region of 434 aa require for efficient PROTEINT0 binding
AIMed_d209@4	PROTEINT1 interact with the effector domain of PROTEINT2 and employ some PROTEINT0 determinant that be common to and other that be distinct from those require for the binding of PROTEINT0 a known PROTEINT0 effector
AIMed_d209@4	PROTEINT0 interact with the effector domain of PROTEINT0 and employ some PROTEINT0 determinant that be common to and other that be distinct from those require for the binding of PROTEINT1 a known PROTEINT2 effector
AIMed_d209@5	The same domain of PROTEINT1 that bind PROTEINT2 also interact with 14-3-3 protein extend the similarity between PROTEINT0 and other PROTEINT0 effector
AIMed_d209@6	When express in mammalian cell the PROTEINT1 binding domain of PROTEINT2 can act as a dominant negative signal transduction blocker
AIMed_d209@8	This PROTEINT1 sequence show preferential binding to the PROTEINT2 domain in vitro
AIMed_d209@9	Moreover the amino-terminal domain of PROTEINT1 directly associate with and be tyrosine phosphorylate by PROTEINT2
AIMed_d162@7	We find that the human PROTEINT1 PROTEINT0 physically interact with PROTEINT2 via its DNA binding domain
AIMed_d162@7	We find that the human PROTEINT0 PROTEINT1 physically interact with PROTEINT2 via its DNA binding domain
AIMed_d162@8	As a result of this physical interaction binding of PROTEINT1 to its hormone response element either as homodimer or as a heterodimer with the PROTEINT2 be inhibit by PROTEINT0 in a concentration-dependent manner
AIMed_d162@9	In transfecte cell wild-type PROTEINT1 repress the hormone-dependent transcriptional activation of PROTEINT2
AIMed_d218@3	We seek to characterize how PROTEINT1 bind and activate its receptor PROTEINT2
AIMed_d173@8	PROTEINT0 protein fuse to the Drosophila protein PROTEINT0 PROTEINT0 PROTEINT0 fail to interact with the PROTEINT0 fragment fuse to PROTEINT0 indicate that the observe PROTEINT1 PROTEINT2 interaction be specific
AIMed_d174@2	The high affinity PROTEINT0 PROTEINT0 signaling complex consist of PROTEINT1 and two membrane-associated receptor component a low affinity but specific PROTEINT0 PROTEINT2 and the affinity converter/signal transduce protein PROTEINT0
AIMed_d174@3	Monomeric PROTEINT0 and dimeric PROTEINT0 form of Escherichia coli-derived human PROTEINT0 and the extracellular soluble portion of the PROTEINT1 PROTEINT0 PROTEINT2 and PROTEINT0 have be purify in order to investigate the effect of PROTEINT0 dimerization on binding to the receptor complex
AIMed_d174@4	Although PROTEINT1 have a high binding affinity for immobilize PROTEINT2 as determine by biosensor analysis employ surface plasmon resonance detection PROTEINT0 be more potent than PROTEINT0 in a STAT3 phosphorylation assay
AIMed_d174@6	The increase binding affinity of PROTEINT1 appear to be due to its ability to cross-link two PROTEINT2 molecule on the biosensor surface
AIMed_d174@7	Study of the PROTEINT0 ternary complex formation demonstrate that the reduce biological potency of PROTEINT0 result from a decrease ability of the PROTEINT1 PROTEINT2 2 complex to couple with the soluble portion of PROTEINT0
AIMed_d174@8	These datum imply that PROTEINT0 induce dimerization of PROTEINT0 be not the drive force in promote formation of the hexameric PROTEINT1 PROTEINT2 PROTEINT0 2 complex
AIMed_d174@9	A model be present whereby the trimeric complex of PROTEINT1 PROTEINT2 and PROTEINT0 form before the functional hexamer
AIMed_d174@10	Due to its increase affinity for the PROTEINT1 but its decrease ability to couple with PROTEINT0 we suggest that a stable PROTEINT2 dimer may be an efficient PROTEINT0 antagonist
AIMed_d174@10	Due to its increase affinity for the PROTEINT0 but its decrease ability to couple with PROTEINT1 we suggest that a stable PROTEINT2 dimer may be an efficient PROTEINT0 antagonist
AIMed_d108@1	PROTEINT1 transcriptional activation mediate by coactivator PROTEINT2 and PROTEINT0
AIMed_d108@1	PROTEINT1 transcriptional activation mediate by coactivator PROTEINT0 and PROTEINT2
AIMed_d108@4	Here a direct interaction between the activation domain of PROTEINT1 and two subunit of the PROTEINT0 complex PROTEINT2 and PROTEINT0 be report
AIMed_d108@4	Here a direct interaction between the activation domain of PROTEINT1 and two subunit of the PROTEINT0 complex PROTEINT0 and PROTEINT2 be report
AIMed_d108@5	A double point mutation in the activation domain of PROTEINT1 impair the ability of this domain to activate transcription and simultaneously its ability to interact with both PROTEINT2 and PROTEINT0
AIMed_d108@5	A double point mutation in the activation domain of PROTEINT1 impair the ability of this domain to activate transcription and simultaneously its ability to interact with both PROTEINT0 and PROTEINT2
AIMed_d108@7	Together these result suggest that PROTEINT1 and PROTEINT0 be important target for transmit activation signal between PROTEINT2 and the initiation complex
AIMed_d108@7	Together these result suggest that PROTEINT0 and PROTEINT1 be important target for transmit activation signal between PROTEINT2 and the initiation complex
AIMed_d106@1	PROTEINT1 interaction with PROTEINT2 tie mitogenic signal transduction to cell cycle activation
AIMed_d106@4	We show here that PROTEINT1 associate with PROTEINT2 in somatic mammalian cell and in meiotic frog oocyte
AIMed_d106@5	Furthermore PROTEINT1 can be activate in vitro in a PROTEINT2 dependent manner
AIMed_d211@7	Recombinant PROTEINT1 induce the tyrosine-phosphorylation of PROTEINT2 PROTEINT0 and PROTEINT0 in cell line express all of these ErbB-family receptor
AIMed_d211@7	Recombinant PROTEINT1 induce the tyrosine-phosphorylation of PROTEINT0 PROTEINT2 and PROTEINT0 in cell line express all of these ErbB-family receptor
AIMed_d211@7	Recombinant PROTEINT1 induce the tyrosine-phosphorylation of PROTEINT0 PROTEINT0 and PROTEINT2 in cell line express all of these ErbB-family receptor
AIMed_d211@8	However in cell line with define combination of ErbB PROTEINT1 only activate those with PROTEINT2 and/or PROTEINT0 suggest that signalling by PROTEINT0 be mediate by PROTEINT0 and/or PROTEINT0 receptor
AIMed_d211@8	However in cell line with define combination of ErbB PROTEINT1 only activate those with PROTEINT0 and/or PROTEINT2 suggest that signalling by PROTEINT0 be mediate by PROTEINT0 and/or PROTEINT0 receptor
AIMed_d101@1	The bZIP domain of PROTEINT1 and PROTEINT0 mediate a physical association with the PROTEINT2
AIMed_d101@1	The bZIP domain of PROTEINT0 and PROTEINT1 mediate a physical association with the PROTEINT2
AIMed_d101@2	PROTEINT1 and PROTEINT2 oncoprotein form a complex that regulate transcription from promoter contain AP-1 binding site
AIMed_d101@4	The ability of PROTEINT1 and PROTEINT0 protein to interact directly with the PROTEINT2 PROTEINT0 the general transcription factor require for initiate the assembly of transcription complex be investigate
AIMed_d101@4	The ability of PROTEINT1 and PROTEINT0 protein to interact directly with the PROTEINT0 PROTEINT2 the general transcription factor require for initiate the assembly of transcription complex be investigate
AIMed_d101@4	The ability of PROTEINT0 and PROTEINT1 protein to interact directly with the PROTEINT2 PROTEINT0 the general transcription factor require for initiate the assembly of transcription complex be investigate
AIMed_d101@4	The ability of PROTEINT0 and PROTEINT1 protein to interact directly with the PROTEINT0 PROTEINT2 the general transcription factor require for initiate the assembly of transcription complex be investigate
AIMed_d101@5	Use co-immunoprecipitation and protein-protein association assay we show that both PROTEINT1 and PROTEINT0 bind specifically and stably to PROTEINT2 Mutational analysis demonstrate that both the basic region and leucine zipper domain of PROTEINT0 and PROTEINT0 be necessary and sufficient for stable association with PROTEINT0
